"","Cod_setor","age_sex_group","population"
"657","230440005060887","F_15_24",114
"658","230440005060887","F_25_44",163
"659","230440005060887","F_45_64",90
"660","230440005060887","F_64more",15
"661","230440005060888","M_14less",143
"662","230440005060888","M_15_24",99
"663","230440005060888","M_25_44",136
"664","230440005060888","M_45_64",65
"665","230440005060888","M_64more",21
"666","230440005060888","F_14less",115
"667","230440005060888","F_15_24",145
"668","230440005060888","F_25_44",173
"669","230440005060888","F_45_64",99
"670","230440005060888","F_64more",25
"671","230440005060889","M_14less",267
"672","230440005060889","M_15_24",165
"673","230440005060889","M_25_44",264
"674","230440005060889","M_45_64",96
"675","230440005060889","M_64more",20
"676","230440005060889","F_14less",266
"677","230440005060889","F_15_24",181
"678","230440005060889","F_25_44",322
"679","230440005060889","F_45_64",91
"680","230440005060889","F_64more",31
"681","230440005060890","M_14less",194
"682","230440005060890","M_15_24",94
"683","230440005060890","M_25_44",192
"684","230440005060890","M_45_64",63
"685","230440005060890","M_64more",15
"686","230440005060890","F_14less",205
"687","230440005060890","F_15_24",115
"688","230440005060890","F_25_44",186
"689","230440005060890","F_45_64",65
"690","230440005060890","F_64more",23
"691","230440005060891","M_14less",106
"692","230440005060891","M_15_24",74
"693","230440005060891","M_25_44",105
"694","230440005060891","M_45_64",28
"695","230440005060891","M_64more",7
"696","230440005060891","F_14less",101
"697","230440005060891","F_15_24",52
"698","230440005060891","F_25_44",112
"699","230440005060891","F_45_64",29
"700","230440005060891","F_64more",10
"701","230440005060892","M_14less",125
"702","230440005060892","M_15_24",73
"703","230440005060892","M_25_44",109
"704","230440005060892","M_45_64",42
"705","230440005060892","M_64more",12
"706","230440005060892","F_14less",119
"707","230440005060892","F_15_24",78
"708","230440005060892","F_25_44",96
"709","230440005060892","F_45_64",45
"710","230440005060892","F_64more",13
"711","230440005060893","M_14less",140
"712","230440005060893","M_15_24",70
"713","230440005060893","M_25_44",133
"714","230440005060893","M_45_64",41
"715","230440005060893","M_64more",9
"716","230440005060893","F_14less",120
"717","230440005060893","F_15_24",71
"718","230440005060893","F_25_44",119
"719","230440005060893","F_45_64",42
"720","230440005060893","F_64more",8
"721","230440005060894","M_14less",146
"722","230440005060894","M_15_24",91
"723","230440005060894","M_25_44",107
"724","230440005060894","M_45_64",46
"725","230440005060894","M_64more",5
"726","230440005060894","F_14less",143
"727","230440005060894","F_15_24",84
"728","230440005060894","F_25_44",115
"729","230440005060894","F_45_64",38
"730","230440005060894","F_64more",6
"731","230440005060895","M_14less",112
"732","230440005060895","M_15_24",100
"733","230440005060895","M_25_44",115
"734","230440005060895","M_45_64",68
"735","230440005060895","M_64more",5
"736","230440005060895","F_14less",86
"737","230440005060895","F_15_24",85
"738","230440005060895","F_25_44",118
"739","230440005060895","F_45_64",81
"740","230440005060895","F_64more",18
"741","230440005060896","M_14less",127
"742","230440005060896","M_15_24",105
"743","230440005060896","M_25_44",158
"744","230440005060896","M_45_64",74
"745","230440005060896","M_64more",16
"746","230440005060896","F_14less",130
"747","230440005060896","F_15_24",129
"748","230440005060896","F_25_44",186
"749","230440005060896","F_45_64",66
"750","230440005060896","F_64more",31
"751","230440005060897","M_14less",93
"752","230440005060897","M_15_24",70
"753","230440005060897","M_25_44",103
"754","230440005060897","M_45_64",46
"755","230440005060897","M_64more",9
"756","230440005060897","F_14less",91
"757","230440005060897","F_15_24",67
"758","230440005060897","F_25_44",108
"759","230440005060897","F_45_64",73
"760","230440005060897","F_64more",23
"761","230440005060898","M_14less",152
"762","230440005060898","M_15_24",94
"763","230440005060898","M_25_44",143
"764","230440005060898","M_45_64",44
"765","230440005060898","M_64more",3
"766","230440005060898","F_14less",166
"767","230440005060898","F_15_24",88
"768","230440005060898","F_25_44",140
"769","230440005060898","F_45_64",49
"770","230440005060898","F_64more",8
"771","230440005060899","M_14less",182
"772","230440005060899","M_15_24",120
"773","230440005060899","M_25_44",214
"774","230440005060899","M_45_64",90
"775","230440005060899","M_64more",18
"776","230440005060899","F_14less",198
"777","230440005060899","F_15_24",121
"778","230440005060899","F_25_44",263
"779","230440005060899","F_45_64",102
"780","230440005060899","F_64more",42
"781","230440005060900","M_14less",69
"782","230440005060900","M_15_24",23
"783","230440005060900","M_25_44",196
"784","230440005060900","M_45_64",38
"785","230440005060900","M_64more",1
"786","230440005060900","F_14less",77
"787","230440005060900","F_15_24",50
"788","230440005060900","F_25_44",204
"789","230440005060900","F_45_64",38
"790","230440005060900","F_64more",2
"791","230440005060901","M_14less",121
"792","230440005060901","M_15_24",95
"793","230440005060901","M_25_44",123
"794","230440005060901","M_45_64",64
"795","230440005060901","M_64more",15
"796","230440005060901","F_14less",99
"797","230440005060901","F_15_24",101
"798","230440005060901","F_25_44",158
"799","230440005060901","F_45_64",92
"800","230440005060901","F_64more",24
"801","230440005060902","M_14less",74
"802","230440005060902","M_15_24",60
"803","230440005060902","M_25_44",115
"804","230440005060902","M_45_64",60
"805","230440005060902","M_64more",25
"806","230440005060902","F_14less",83
"807","230440005060902","F_15_24",67
"808","230440005060902","F_25_44",145
"809","230440005060902","F_45_64",78
"810","230440005060902","F_64more",35
"811","230440005060903","M_14less",119
"812","230440005060903","M_15_24",97
"813","230440005060903","M_25_44",164
"814","230440005060903","M_45_64",94
"815","230440005060903","M_64more",28
"816","230440005060903","F_14less",124
"817","230440005060903","F_15_24",125
"818","230440005060903","F_25_44",209
"819","230440005060903","F_45_64",115
"820","230440005060903","F_64more",34
"821","230440005060904","M_14less",74
"822","230440005060904","M_15_24",53
"823","230440005060904","M_25_44",101
"824","230440005060904","M_45_64",51
"825","230440005060904","M_64more",13
"826","230440005060904","F_14less",78
"827","230440005060904","F_15_24",48
"828","230440005060904","F_25_44",126
"829","230440005060904","F_45_64",52
"830","230440005060904","F_64more",21
"831","230440005060905","M_14less",85
"832","230440005060905","M_15_24",51
"833","230440005060905","M_25_44",90
"834","230440005060905","M_45_64",39
"835","230440005060905","M_64more",13
"836","230440005060905","F_14less",64
